--------------------------------------------------------------------------
WARNING: No preset parameters were found for the device that Open MPI
detected:

  Local host:            ai02
  Device name:           mlx5_1
  Device vendor ID:      0x02c9
  Device vendor part ID: 4117

Default device parameters will be used, which may result in lower
performance.  You can edit any of the files specified by the
btl_openib_device_param_files MCA parameter to set values for your
device.

NOTE: You can turn off this warning by setting the MCA parameter
      btl_openib_warn_no_device_params_found to 0.
--------------------------------------------------------------------------
1000000 110697
Training on 1000000 out of 44279131 training samples
Estimator: 000 | Epoch: 000 | Batch: 000 | Loss: 27.17575
Estimator: 000 | Epoch: 000 | Batch: 100 | Loss: 0.82238
Estimator: 000 | Epoch: 000 | Batch: 200 | Loss: 1.22667
Estimator: 000 | Epoch: 000 | Batch: 300 | Loss: 1.14549
Estimator: 000 | Epoch: 000 | Batch: 400 | Loss: 1.48219
Estimator: 000 | Epoch: 000 | Batch: 500 | Loss: 0.84502
Estimator: 000 | Epoch: 000 | Batch: 600 | Loss: 0.76493
Estimator: 000 | Epoch: 000 | Batch: 700 | Loss: 1.06742
Estimator: 000 | Epoch: 000 | Batch: 800 | Loss: 0.91681
Estimator: 000 | Epoch: 000 | Batch: 900 | Loss: 1.25744
Estimator: 000 | Epoch: 000 | Batch: 1000 | Loss: 1.60374
Estimator: 000 | Epoch: 000 | Batch: 1100 | Loss: 1.04736
Estimator: 000 | Epoch: 000 | Batch: 1200 | Loss: 1.40816
Estimator: 000 | Epoch: 000 | Batch: 1300 | Loss: 1.15345
Estimator: 000 | Epoch: 000 | Batch: 1400 | Loss: 0.95581
Estimator: 000 | Epoch: 000 | Batch: 1500 | Loss: 1.42936
Estimator: 000 | Epoch: 000 | Batch: 1600 | Loss: 1.09476
Estimator: 000 | Epoch: 000 | Batch: 1700 | Loss: 1.39739
Estimator: 000 | Epoch: 000 | Batch: 1800 | Loss: 0.85216
Estimator: 000 | Epoch: 000 | Batch: 1900 | Loss: 1.26576
Estimator: 000 | Epoch: 000 | Batch: 2000 | Loss: 0.83619
Estimator: 000 | Epoch: 000 | Batch: 2100 | Loss: 1.38886
Estimator: 000 | Epoch: 000 | Batch: 2200 | Loss: 0.83244
Estimator: 000 | Epoch: 000 | Batch: 2300 | Loss: 1.21012
Estimator: 000 | Epoch: 000 | Batch: 2400 | Loss: 1.09585
Estimator: 000 | Epoch: 000 | Batch: 2500 | Loss: 1.12339
Estimator: 000 | Epoch: 000 | Batch: 2600 | Loss: 1.36723
Estimator: 000 | Epoch: 000 | Batch: 2700 | Loss: 1.26929
Estimator: 000 | Epoch: 000 | Batch: 2800 | Loss: 0.75775
Estimator: 000 | Epoch: 000 | Batch: 2900 | Loss: 1.33117
Estimator: 000 | Epoch: 000 | Batch: 3000 | Loss: 1.02416
Estimator: 000 | Epoch: 000 | Batch: 3100 | Loss: 0.77422
Estimator: 000 | Epoch: 000 | Batch: 3200 | Loss: 0.91762
Estimator: 000 | Epoch: 000 | Batch: 3300 | Loss: 1.13607
Estimator: 000 | Epoch: 000 | Batch: 3400 | Loss: 1.07275
Estimator: 000 | Epoch: 000 | Batch: 3500 | Loss: 1.04005
Estimator: 000 | Epoch: 000 | Batch: 3600 | Loss: 1.34131
Estimator: 000 | Epoch: 000 | Batch: 3700 | Loss: 1.05795
Estimator: 000 | Epoch: 000 | Batch: 3800 | Loss: 1.07853
Estimator: 000 | Epoch: 000 | Batch: 3900 | Loss: 0.81743
Estimator: 000 | Epoch: 000 | Batch: 4000 | Loss: 1.08166
